
year, age, all, male, female
   2011,        0   ,  0.003738,     0.005017,     0.004393
   2011,      1-4   ,  0.000172,     0.000194,     0.000183
   2011,      5-9   ,  0.000063,     0.000100,     0.000082
   2011,     10-14  ,  0.000079,     0.000098,     0.000089
   2011,     15-19  ,  0.000153,     0.000309,     0.000233
   2011,     20-24  ,  0.000226,     0.000500,     0.000364
   2011,     25-29  ,  0.000295,     0.000609,     0.000452
   2011,     30-34  ,  0.000445,     0.000785,     0.000615
   2011,     35-39  ,  0.000655,     0.001190,     0.000922
   2011,     40-44  ,  0.001066,     0.001736,     0.001397
   2011,     45-49  ,  0.001624,     0.002464,     0.002039
   2011,     50-54  ,  0.002593,     0.003822,     0.003203
   2011,     55-59  ,  0.004005,     0.006154,     0.005067
   2011,     60-64  ,  0.006342,     0.009664,     0.007972
   2011,     65-69  ,  0.009680,     0.014818,     0.012178
   2011,     70-74  ,  0.016350,     0.025464,     0.020669
   2011,     75-79  ,  0.028374,     0.041225,     0.034200
   2011,     80-84  ,  0.052637,     0.073045,     0.061090
   2011,     85-89  ,  0.096586,     0.126589,     0.107305
   2011,     90-94  ,  0.166073,     0.208101,     0.178118
   2011,     95-99  ,  0.286204,     0.335499,     0.296505
   2011,    100-104 ,  0.430894,     0.487502,     0.438713
   2011,    105-109 ,  0.551637,     0.573048,     0.553639
   2011,    110+    ,  1.098352,     2.409639,     1.150527
