
  year, age, all, male, female
  2011 ,          0  ,           0.005518 ,       0.006590,        0.006066
  2011 ,        1-4  ,           0.000233 ,       0.000291,        0.000263
  2011 ,        5-9  ,           0.000107 ,       0.000133,        0.000120
  2011 ,       10-14 ,           0.000114 ,       0.000170,        0.000143
  2011 ,       15-19 ,           0.000282 ,       0.000685,        0.000489
  2011 ,       20-24 ,           0.000440 ,       0.001265,        0.000861
  2011 ,       25-29 ,           0.000558 ,       0.001367,        0.000967
  2011 ,       30-34 ,           0.000760 ,       0.001498,        0.001130
  2011 ,       35-39 ,           0.001023 ,       0.001769,        0.001394
  2011 ,       40-44 ,           0.001566 ,       0.002475,        0.002018
  2011 ,       45-49 ,           0.002510 ,       0.003971,        0.003232
  2011 ,       50-54 ,           0.003779 ,       0.006173,        0.004953
  2011 ,       55-59 ,           0.005274 ,       0.009072,        0.007114
  2011 ,       60-64 ,           0.007804 ,       0.012726,        0.010165
  2011 ,       65-69 ,           0.011889 ,       0.018066,        0.014803
  2011 ,       70-74 ,           0.018891 ,       0.027803,        0.022976
  2011 ,       75-79 ,           0.031217 ,       0.043994,        0.036807
  2011 ,       80-84 ,           0.053380 ,       0.073007,        0.061311
  2011 ,       85-89 ,           0.093345 ,       0.119677,        0.102760
  2011 ,       90-94 ,           0.166801 ,       0.206649,        0.178657
  2011 ,       95-99 ,           0.280228 ,       0.332243,        0.291665
  2011 ,      100-104,           0.416037 ,       0.481224,        0.425764
  2011 ,      105-109,           0.544359 ,       0.606064,        0.550471
  2011 ,      110+   ,           0.672468 ,       0.624494,        0.667042
