year,value
1968,669.42
1969,634.76
1970,600.4
1971,575.2
1972,557.31
1973,524.68
1974,472.53
1975,433.01
1976,409.41
1977,384.42
1978,357.3
1979,320.88
1980,282.71
1981,256.28
1982,241.41
1983,233.89
1984,224.21
1985,216.5
1986,212.55
1987,205.07
1988,196.92
1989,187.87
1990,178.24
1991,171.04
1992,166.04
1993,161.22
1994,157.19
1995,152.86
1996,148.47
1997,145.14
1998,142.92
1999,139.83
2000,135.28
2001,131.54
2002,129.49
2003,126.61
2004,123.32
2005,119.28
2006,115.55
2007,112.35
2008,108.20
2009,108.59
2010,106.83
2011,103.56
2012,101.46
2013,100.00
2014,101.62
2015,101.74
